carrion_code	weight_kg	vulture	top_pred	cons_rate	sub_region	region	type	type_reg	FR3	FR4	FR2	FR5	FR6	FR1	FR	FRic	FDis	tax.ric	abun	bio	mobility_aerial	mobility_terrestrial	social_solitary	social_group	social_social	range	migrant_no	migrant_yes	scavenger_facultative	scavenger_obligate	predator_non_pred	predator_meso_pred	predator_top_pred	diet_carnivorous	diet_omnivorous	body_mass	fecundity	longevity	activity_both	activity_diurnal	activity_nocturnal	sight_high	sight_low	smell_high	smell_low
CC23	30	1	1	0.588	CC	ibe	PVF	PVF-M	0	0	0.73	12	0	5.2	5.976666667	0.122482327	0.108001893	4	7	17.93	0.330730619	0.669269381	0.709983268	0.290016732	0	1.669269381	1	0	1	0	0	1	0	0.040713887	0.959286113	4.531673173	10.48800892	19.36642499	0.669269381	0.330730619	0	1	0	0.669269381	0.330730619
CC24	25	1	1	0.167	CC	ibe	PVF	PVF-M	121	0	0	6	0	3.2	43.4	0.298510367	0.05521424	5	19	130.2	0.953917051	0.046082949	0.061443932	0.024577573	0.913978495	3.834101382	0.984639017	0.015360983	0.070660522	0.929339478	0.929339478	0.070660522	0	0.929339478	0.070660522	8.112288786	1.685099846	38.47004608	0.046082949	0.953917051	0	1	0	0.046082949	0.953917051
CC25	2	1	1	0.158	CC	ibe	PVF	PVF-M	0	0	0	7.75	0	0.6	4.175	0.022159628	0.065681373	3	3	8.35	0.071856287	0.928143713	0.928143713	0.071856287	0	1.928143713	1	0	1	0	0	1	0	0	1	4.721257485	10.80239521	20.22754491	0.718562874	0.071856287	0.209580838	1	0	0.928143713	0.071856287
CC26	25	1	1	0.305	CC	ibe	PVF	PVF-M	127.5	0	0	6	0	2.6	45.36666667	0.26416038	0.049794079	4	18	136.1	0.955914769	0.044085231	0.044085231	0.0191036	0.936811168	3.854518736	1	0	0.063188832	0.936811168	0.936811168	0.063188832	0	0.936811168	0.063188832	8.259441587	1.614254225	38.67303453	0.044085231	0.955914769	0	1	0	0.044085231	0.955914769
CC27	2	1	1	0.002	CC	ibe	PVF	PVF-M	0	0	0	6	0	8	7	0.000487038	0.118768625	2	5	14	0.571428571	0.428571429	0.428571429	0.571428571	0	1.428571429	1	0	1	0	0	1	0	0	1	3.714285714	9.714285714	16.42857143	0.428571429	0.571428571	0	1	0	0.428571429	0.571428571
CC28	2	1	1	0.238	CC	ibe	PVF	PVF-M	25.5	0	0	6	0	2	11.16666667	0.26416038	0.157159933	3	5	33.5	0.820895522	0.179104478	0.179104478	0.059701493	0.76119403	3.462686567	1	0	0.23880597	0.76119403	0.76119403	0.23880597	0	0.76119403	0.23880597	7.664179104	3.388059701	34.98507463	0.179104478	0.820895522	0	1	0	0.179104478	0.820895522
CC29	25	1	1	9.439	CC	ibe	PVF	PVF-M	85	0	0	0	0	4	44.5	0.000487038	0.018804021	2	12	89	1	0	0	0.04494382	0.95505618	3.865168539	1	0	0.04494382	0.95505618	0.95505618	0.04494382	0	0.95505618	0.04494382	8.207865169	1.314606742	38.78651685	0	1	0	1	0	0	1
CC30	3	1	1	0.005	CC	ibe	PVF	PVF-M	0	52.98	0	6	0	0	29.49	0.000487038	0.048245762	2	2	58.98	0	1	0.1017294	0.8982706	0	2	1	0	1	0	0	1	0	0	1	48.2007528	9.305188199	26.3896236	0.1017294	0	0.8982706	0.1017294	0.8982706	1	0
CC31	25	1	1	5.195	CC	ibe	PVF	PVF-M	102	0	0	6	30	1.68	34.92	0.413214255	0.170785252	5	18	139.68	0.742268041	0.257731959	0.042955326	0.226804124	0.73024055	3.663230241	1	0	0.26975945	0.73024055	0.73024055	0.054982818	0.214776632	0.945017182	0.054982818	12.91405498	3.484536082	34.64261168	0.042955326	0.742268041	0.214776632	1	0	0.257731959	0.742268041
CC32	2	1	1	0.538	CC	ibe	PVF	PVF-M	0	0	0	18	0	0	18	0.000487038	0	1	3	18	0	1	1	0	0	2	1	0	1	0	0	1	0	0	1	6	12	21	1	0	0	1	0	1	0
